,epoch,fold1,fold2,fold3,fold4,fold5,mean,std
0,1.0000,0.1736,0.1675,0.1688,0.1731,0.1696,0.1705,0.0024
1,10.0000,0.7187,0.6165,0.6391,0.6824,0.6587,0.6631,0.0353
