,epoch,fold1,fold2,fold3,fold4,fold5,mean,std
0,1.0000,0.2252,0.2329,0.0000,0.0000,0.0000,0.2291,0.0039
1,10.0000,0.8435,0.8191,0.0000,0.0000,0.0000,0.8313,0.0122
