,epoch,fold1,fold2,fold3,fold4,fold5,mean,std
0,1.0000,0.1685,0.1713,0.1706,0.0000,0.0000,0.1701,0.0012
1,10.0000,0.6373,0.6719,0.6838,0.0000,0.0000,0.6644,0.0197
