,epoch,fold1,fold2,fold3,fold4,fold5,mean,std
0,1.0000,0.2246,0.2308,0.2320,0.2186,0.2239,0.2260,0.0049
1,10.0000,0.8322,0.8284,0.8194,0.8333,0.8360,0.8298,0.0058
